literal,equivalent,darija_ar,eng_equivalent,eng_literal,darija_equivalent,darija_literal
"You! The one naked, what do you need? I need a ring made of gold my lord.",Putting the cart before the horse.,"أش خاصك يا العريان, خاصني خاتم الذهب يا مولاي.",Mind your own business.,"What do you want, you naked one, give me the gold ring, sir.",Mind your own business.,"What's your problem, you naked person, my concern is the gold ring, sir."
One bitten by a snake will fear a cord.,The burnt child dreads the fire.,اللي عضو الحنش كيخاف من الحبل.,The guilty dog barks the loudest.,The one who stole the beehive is afraid of the rope.,He who plays with fire gets burned.,The one who bites the snake is afraid of the rope.
He came to help her with her eyeliner and blinded her.,Adding insult to injury.,جا يكحلها عماها.,He came to put kohl on her eyes.,He came to fix it for her.,He's adding fuel to the fire.,He came to fix what he messed up.
"If one doesn't have money, their speech is tasteless.",Money talks.,اللي ما عندو فلوس كلامو مسوس.,Empty vessels make the most noise.,"Whoever doesn't have money, their words are considered insignificant.",Empty vessels make the most noise.,"Who doesn't have money, his words are worthless."
Say nice things on your friend around others; chastise him face to face.,"Praise in public, criticize in private.",امدح صاحبك مع الناس ولومو الراس فالراس.,"Speak well of your friend in public, but scold him in private.",Praise your friend in front of people and scold him in private.,Praise your friend in public and scold him in private.,Praise your friend in front of people and scold him in private.
One eye saw and the other eye did not see.,Turning the blind eye.,دير عين شافت وعين ماشافت.,"Out of sight, out of mind.",Put an eye that sees and an eye that doesn't see.,"Out of sight, out of mind.",Put an eye that sees and an eye that doesn't see.
Put a plastic bag on your eye.,Turn the blind eye.,دير عين ميكا.,Mind your own business.,Put some eye makeup.,Keep an eye out.,Put on your sunglasses.
You don't feel the whip unless you are the one being beaten with it.,You never know a man until you walk a mile in his shoes.,ما تيحس بالمزود غير اللي مخبوط به.,The shoe only pinches the foot that wears it.,You only feel the thorn that's stuck in you.,You never miss the water till the well runs dry.,You only feel the itch of the shirt you're wearing.
Start them off with crayons.,breaking it down Barney style.,خصك معاهم الخشيبات.,Mind your own beeswax.,Mind your own business with them old folks.,Mind your own business.,Mind your own business.
Even the owner of the crown (the king) has needs.,It rains on the rich and poor alike.,مول التاج كيحتاج.,The crown needs a head.,The mall needs renovation.,All that glitters is not gold.,The boss is in need.
Think about it 101 times before cutting with the scissors.,"Measure twice, cut once.",مية تخميمة وتخميمة ولا ضربة بالمقص.,A shot in the dark.,"A hundred guesses and not a single correct one, it's like a shot in the dark.",A hundred guesses are no match for one try.,A hundred guesses are like a hundred snips with scissors.
"If one wants honey, they must endure the sting of bees.","No pain, no gain.",اللي بغي لعسل يصبر لقريص النحل.,"If you want honey, be prepared to deal with bees.",Whoever wants honey should endure the sting of the bee.,"If you want honey, be prepared to deal with bees.",Whoever wants honey should be patient with the bees' stings.
A grand funeral for a dead mouse.,Making a mountain out of a molehill.,الگنازة كبيرة والميت فار.,"The funeral is grand, but the deceased is a mouse.",The funeral is big and the deceased is far.,The funeral is big and the deceased is a mouse.,The coffin is big and the dead person is small.
One said to the other I tricked you and the other said I experienced you (for who you are).,"fool me once shame on you, fool me twice shame on me.",قالو شمتك، قالو جربتك.,"They said you're bitter, he said they've tasted you.","They said they mocked you, they said they tried you.","They said you're a thorn, they said they tried you.","They said they envy you, they said they tried you."
If you are raised with something you grow old with it.,Old habits die hard.,اللي تربي على شي حاجة كبر عليها.,Familiarity breeds contempt.,Whoever is raised on something will grow accustomed to it.,You can't teach an old dog new tricks.,Whoever is raised on something will grow accustomed to it.
One who dugs a hole fells into it.,They dug their own grave.,لي حفر شي حفرة كيطيح فيها.,He who digs a pit will fall into it.,"Who digs a hole, falls into it.",He who digs a pit will fall into it.,The one who digs a hole falls into it.
The people are with the people and the bald guy is combing his hair.,He's spinning his wheels.,الناس في الناس والقرع في مشيط الراس.,People will be people.,"People are people, and the pumpkin is in the comb of the head.","People will be people, and a pumpkin will always be a squash.",People are people and the pumpkin is in the head massager.
A day's wedding is a year's planning.,Rome wasn't built in a day.,زواج ليلة تدبيره عام.,A marriage planned in haste will end in waste.,A wedding is planned in the evening.,A marriage of convenience.,A wedding planned in one night.
The Fqih that we expect his blessing entered the Mosque while wearing his slippers.,Don't judge a book by its cover.,الفقيه اللي نتسناو براكته دخل للجامع ببلغته.,"A wise man changes his mind, a fool never will.",The scholar we were waiting for entered the mosque with his dignity.,The wise man we are waiting for entered the mosque with his slippers on.,The scholar we've been waiting for entered the mosque with his dignity.
"Tie your donkey with other donkeys, it will only learn to bray, neigh and from the path he'll stray.",You're known by the company you keep.,اربط حمارك مع الحمير، يتعلم الشيق والنهيق وخرجان الطريق.,"Tell me who your friends are, and I'll tell you who you are.","Tie your donkey with the other donkeys, it will learn the braying and neighing and stay on the road.","Tie your donkey with donkeys, it will learn the braying and the neighing and stay on the right path.","Tie your donkey with the donkeys, he will learn the braying and neighing and get out of the way."
Flies do not enter a closed mouth.,Silence is golden.,الفم المسدود ما يدخلو دبان.,A closed mouth catches no flies.,A closed mouth doesn't let flies in.,A closed mouth catches no flies.,A closed mouth doesn't catch flies.
