literal_eng,equivalent_eng,darija_ar,explanation,
"You! The one naked, what do you need? I need a ring made of gold my lord.",Putting the cart before the horse.,"أش خاصك يا العريان, خاصني خاتم الذهب يا مولاي.",Priorities
One bitten by a snake will fear a cord.,The burnt child dreads the fire.,اللي عضو الحنش كيخاف من الحبل.,
He came to help her with her eyeliner and blinded her.,Adding insult to injury.,جا يكحلها عماها.,making matters worse
"If one doesn't have money, their speech is tasteless.",Money talks.,اللي ما عندو فلوس كلامو مسوس.,
"Say nice things on your friend around others; chastise him face to face.","Praise in public, criticize in private.",امدح صاحبك مع الناس ولومو الراس فالراس.,
One eye saw and the other eye did not see.,Turning the blind eye.,دير عين شافت وعين ماشافت.,
Put a plastic bag on your eye.,Turn the blind eye.,دير عين ميكا.,
You don't feel the whip unless you are the one being beaten with it.,You never know a man until you walk a mile in his shoes.,ما تيحس بالمزود غير اللي مخبوط به.,You wouldn't understand unless you experienced it.
Start them off with crayons.,breaking it down Barney style.,خصك معاهم الخشيبات.,"This is phrase is appropriate for situations where someone needs to start out from the most basic level to understand a lesson or task. It is similar to 'breaking it down Barney style', explaining it in a way that a child can comprehend."
The jurist Dahman read the letter for seven days and declared the handwriting was poor.,##Refusing to admit fault for one's shortcomings.,الفقيه دحمان، قرا البرة سبع ايام، وقاليهم الخط عيان.,someone who refuses to admit fault for their own shortcomings.
Even the owner of the crown (the king) has needs.,It rains on the rich and poor alike.,مول التاج كيحتاج.,It rains on the rich and poor alike'. Even the wealthy experience problems.
Think about it 101 times before cutting with the scissors.,"Measure twice, cut once.",مية تخميمة وتخميمة ولا ضربة بالمقص.,Think hard before making a decision which may have permanent consequences.
"If one wants honey, they must endure the sting of bees.","No pain, no gain.","اللي بغي لعسل يصبر لقريص النحل.",
A grand funeral for a dead mouse.,Making a mountain out of a molehill.,الگنازة كبيرة والميت فار.,People making a big stink over a minor problem.
One said to the other I tricked you and the other said I experienced you (for who you are).,"fool me once shame on you, fool me twice shame on me.",قالو شمتك، قالو جربتك.,"An awkward translation but the equivalent expression is 'fool me once shame on you, fool me twice shame on me'."
If you are raised with something you grow old with it.,Old habits die hard.,اللي تربي على شي حاجة كبر عليها.,Old habits die hard.
One who dugs a hole fells into it.,They dug their own grave.,لي حفر شي حفرة كيطيح فيها.,They dug their own grave.
The people are with the people and the bald guy is combing his hair.,##He's spinning his wheels.,الناس في الناس والقرع في مشيط الراس.,A comment on someone doing something with little or no benefit
A day's wedding is a year's planning.,Rome wasn't built in a day.,زواج ليلة تدبيره عام.,"means that significant achievements or complex tasks require time, effort, and careful planning."
The Fqih that we expect his blessing entered the Mosque while wearing his slippers.,Don't judge a book by its cover.,الفقيه اللي نتسناو براكته دخل للجامع ببلغته.,He's a hypocrite.
"Tie your donkey with other donkeys, it will only learn to bray, neigh and from the path he'll stray.",You're known by the company you keep.,اربط حمارك مع الحمير، يتعلم الشيق والنهيق وخرجان الطريق.,"Beware of the company you keep, they will teach you bad habits."
Flies do not enter a closed mouth.,"Silence is golden.",الفم المسدود ما يدخلو دبان.,"If you don't have anything nice to say, don't say anything at all. Don't speak poorly of others."
