darija,eng,darija_ar
"homa mkhbbyin chi haja, ana mti99en!","They're hiding something, I'm sure!","هوما مخبّيين شي حاجة, أنا متيقّن!"
bayna homa tay7awlo ib9aw mbrrdin.,It's obvious they're trying to keep their cool.,باينا هوما تايحاولو إبقاو مبرّدين.
loTilat mabaynach fihom mori7in bzzaf.,the hotels don't seem very comfortable.,لوطيلات مابايناش فيهوم موريحين بزّاف.
ghaliban ghayjrriw 3lih mn lkhdma!,he is probably about to be laid off by head office!,غاليبان غايجرّيو عليه من لخدما!
knt dima 3arf annaha bghatna nmoutou,I always knew she wanted us dead,كنت ديما عارف أنّاها بغاتنا نموتو
bghit n3ref ch7al b9a lia tlwe9t bach n9ra,I'd like to know how much time I have left to study,بغيت نعرف شحال بقا ليا تلوقت باش نقرا
"ghaykon 3ndna mti7an, ala hadchi lli 9Sedti","We will have an exam, if that is what you mean","غايكون عندنا متيحان, ألا هادشي اللي قصدتي"
ghanghTTiw ga3 lmawad tal tlat jjay,We will cover all the material up to next Tuesday,غانغطّيو ڭاع لماواد تال تلات الجاي
"wakha, ala 3ndi ay as2ila, wach nsifthom lik f email?","Okay, if I have any questions, could I email them to you?","واخا, ألا عندي أي أسإلا, واش نسيفتهوم ليك ف إمايل?"
walakin ghanjawb 3lihom fl aw9at t lkhdma,But I will only answer them during working hours,والاكين غانجاوب عليهوم فل أوقات ت لخدما
idan 3afak matsifthomch m3TTel nhar larb3 bl3chia,so please don't send them late on Wednesday evening,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا
o mnimta bssalama nn3as kan kay3awen chi wahd?!,and since when have sleeping helped anyone?!,أُ منيمتا بسّالاما النعاس كان كايعاون شي واهد?!
w f7alat w93at ksida ach khssna ndiro?,And in case of accidents we're supposed to do what?,و فحالات وقعات كسيدا أش خسّنا نديرو?
lach jbti m3ak chjra l Tyyara?!,why did you bring a tree onto the plane?!,لاش جبتي معاك شجرا ل طيّارا?!
tan9tar7 annak tsm3 ktr o thdr 9ell,I suggest you listen more and talk less,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ
o ch7al hada bach nta mkellef?,and how long have you been in charge?,أُ شحال هادا باش نتا مكلّف?
"glt lik lkrafs, wach matatsme3ch","I said celery, can't you listen","ڭلت ليك لكرافس, واش ماتاتسمعش"
wakha nzid chi bou3wid tahoa?,"Can I add some pear, too?",واخا نزيد شي بوعويد تاهوا?
wa rah 3chr snin hadi,It's been ten years,وا راه عشر سنين هادي
3afak wakha tsedd chrjem m3ak,please could you just close the window,عافاك واخا تسدّ شرجم معاك
wa hir tl9na o baraka mn l8Dra,just get on and don't talk so much,وا هير تلقنا أُ باراكا من لهضرا
hoa mjowwej b mo7amia mn Tanja,He is married to a lawyer in Tangier.,هوا مجووّج ب موحاميا من طانجا
daba kaydowwez bzzaf tlwe9t fddar,Now he spends a lot of time home,دابا كايدووّز بزّاف تلوقت فدّار
ala kan hadchi lli kat9Sed,if that is what you mean,ألا كان هادشي اللي كاتقصد
