eng,darija_ar,transl
"They're hiding something, I'm sure!","هوما مخبّيين شي حاجة, أنا متيقّن!","They are hiding something, I'm sure!"
It's obvious they're trying to keep their cool.,باينا هوما تايحاولو إبقاو مبرّدين.,It seems they are trying to stay cool.
the hotels don't seem very comfortable.,لوطيلات مابايناش فيهوم موريحين بزّاف.,The tourists don't seem to be enjoying themselves much.
he is probably about to be laid off by head office!,غاليبان غايجرّيو عليه من لخدما!,They will be fired from their jobs!
I always knew she wanted us dead,كنت ديما عارف أنّاها بغاتنا نموتو,I always knew that she wanted us to die.
I'd like to know how much time I have left to study,بغيت نعرف شحال بقا ليا تلوقت باش نقرا,I want to know how much time I have left to study.
"We will have an exam, if that is what you mean","غايكون عندنا متيحان, ألا هادشي اللي قصدتي","We will have a meeting, is that what you meant?"
We will cover all the material up to next Tuesday,غانغطّيو ڭاع لماواد تال تلات الجاي,He will cover the expenses until the next month.
"Okay, if I have any questions, could I email them to you?","واخا, ألا عندي أي أسإلا, واش نسيفتهوم ليك ف إمايل?","And if I don't have any questions, should I send them to you by email?"
But I will only answer them during working hours,والاكين غانجاوب عليهوم فل أوقات ت لخدما,The employees will answer them at all times for service.
so please don't send them late on Wednesday evening,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا,"Please don't mess with them, don't ruin their day on Wednesday."
and since when have sleeping helped anyone?!,أُ منيمتا بسّالاما النعاس كان كايعاون شي واهد?!,Why does sleep always come to help at the wrong time?!
And in case of accidents we're supposed to do what?,و فحالات وقعات كسيدا أش خسّنا نديرو?,"In situations like this, what should we do?"
why did you bring a tree onto the plane?!,لاش جبتي معاك شجرا ل طيّارا?!,Why did you bring a tree with you for a flight?!
I suggest you listen more and talk less,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ,It's better to listen more than to talk a lot.
and how long have you been in charge?,أُ شحال هادا باش نتا مكلّف?,How much will this cost you?
"I said celery, can't you listen","ڭلت ليك لكرافس, واش ماتاتسمعش","I told you to eat your vegetables, why don't you listen?"
"Can I add some pear, too?",واخا نزيد شي بوعويد تاهوا?,Should I add some garlic to it?
It's been ten years,وا راه عشر سنين هادي,"Wow, it's been ten years already."
please could you just close the window,عافاك واخا تسدّ شرجم معاك,"Excuse me, can you please close the door behind you"
just get on and don't talk so much,وا هير تلقنا أُ باراكا من لهضرا,"Wow, we just received a blessing from the conversation."
He is married to a lawyer in Tangier.,هوا مجووّج ب موحاميا من طانجا,"He got married in Mohammedia, near Tangier."
Now he spends a lot of time home,دابا كايدووّز بزّاف تلوقت فدّار,Now they are renovating the house a lot.
if that is what you mean,ألا كان هادشي اللي كاتقصد,Is this what you mean?
they would traditionally be boiled and served with vinegar,عاداتان غايتغلاو ويتحطّو معا لخلّ,They both have the habit of arguing but they always make up in the end.
this will be a proper moroccan meal,هادا غايكون طاباق مغريبي حورّ,This will be a traditional Moroccan dish.
"Beets are good, but it might give you a sweet taste.","لباربا زوينا, والاكين تقدر تعطيك واحد لماداق حلو","The barbary figs are delicious, and the cactus can give you one for a sweet taste."
"Do you want french fries with them, too?","بغيتي بطاطا فريت معاهوم, تاهيا?",Do you want fries with that?
how about going to the cinema?,أُ أش بالّيك نمشيو ل سينما?,"Hey, what do you think about going to the cinema?"
Unless you have anything else you would like to add,ماعادا ألا عندك شي حاجة خرا بغيتي تزيدها,"Except for that, do you need anything else crappy that you want to add?"
"Now, I think I've got everything we need to solve this problem",دابا تايبالّيا عندي ڭاع داكشي اللي تانحتاج باش نحلّ هاد لموشكيل,Now I have everything I need to solve this problem.
sometimes we laugh sometimes we cry,بعد لمرّات تانضحكو بعد لمرّات تانبكيو,"Sometimes you laugh, sometimes you cry."
basically you are under stress now,أساسان نتا تحت الضاغط دابا,"Basically, you are under pressure now."
which happens to many people theses days,هادشي تايوقع ل عاداد من الناس هاد ليامات,This happens to a lot of people these days.
Meanwhile you don't have a problem with your brain,فنفس لوقت ماعندكش موشكيل فدماغك,"At the same time, you don't have a clear image in your mind."
"Yes, thank you very much for your advice.","أه, شوكران بزّاف علا الناصيحا ديالك.","Oh, thank you very much for your advice."
I do think that could be a solution,تانضنّ أنّا هادشي إقدر إكون حلّ,I think this can be a solution.
or at least a step in the right direction,أُلّا علّ أقالّ خطوا فل إتّيجاه الصاحيح,He said that he wrote in the wrong direction.
Are there any other managers on her level,واش كاينين موديرات خرين فنفس لموستاوا ديالها,Are there any directors who are corrupt in the administration of their institution?
do you know people you can talk to easily?,واش كاتعرفي ناس إمكن تهضري معاهوم بسوهولا,Do you know people you can talk to about it?
but I don't have anything to celebrate,والاكين أنا ماعندي التا حاجا نحتافل بيها,I don't have anything special to celebrate.
I'm just an employee among others,أنا راه غير واحد من لخدّاما,I am just one of the workers.
if one of the team-members has something to say,ألا كان شي واهد من لفرقا عندو شي حاجة مايڭول,"If someone has something precious, they won't talk about it."
you could suggest it at lunchtime,إمكن ليك تقتارحها ف وقيتّ لغدا,Can you suggest it for tomorrow's time?
this is an excellent way to improve work relationships,هادي طاريقا راإعا باش تحسّن لعالاقات تلخدما,This is a good way to improve your relationships at work.
