eng,darija_ar,transl
It's obvious they're trying to keep their cool.,باينا هوما تايحاولو إبقاو مبرّدين.,They seem to be trying to stay calm.
the hotels don't seem very comfortable.,لوطيلات مابايناش فيهوم موريحين بزّاف.,The towels don't seem very absorbent.
he is probably about to be laid off by head office!,غاليبان غايجرّيو عليه من لخدما!,The two of them will run after him for the job!
"I said celery, can't you listen","ڭلت ليك لكرافس, واش ماتاتسمعش","I told you to be careful, did you not hear?"
"Can I add some pear, too?",واخا نزيد شي بوعويد تاهوا?,"And if we add a little humor, will they understand?"
It's been ten years,وا راه عشر سنين هادي,"Wow, this has been going on for ten years."
please could you just close the window,عافاك واخا تسدّ شرجم معاك,"Please, when you're done, take your belongings with you."
Now he spends a lot of time home,دابا كايدووّز بزّاف تلوقت فدّار,Now they are doing a lot of renovations at home.
if that is what you mean,ألا كان هادشي اللي كاتقصد,Isn't this what you meant?
they would traditionally be boiled and served with vinegar,عاداتان غايتغلاو ويتحطّو معا لخلّ,They will adapt and work together to succeed.
this will be a proper moroccan meal,هادا غايكون طاباق مغريبي حورّ,This will be a traditional Moroccan dish.
"Do you want french fries with them, too?","بغيتي بطاطا فريت معاهوم, تاهيا?","You want fries with them, right?"
basically you are under stress now,أساسان نتا تحت الضاغط دابا,"Basically, you're under pressure now."
Meanwhile you don't have a problem with your brain,فنفس لوقت ماعندكش موشكيل فدماغك,"At the same time, you don't have a worry in your mind."
she does not have enough confidence in the team,ماعندهاش تيقا كافيا فل فرقا,She doesn't have enough self-confidence in herself.
Do you think I should take a vacation?,تايبان ليك خسّ نشدّ عوطلا?,Do you feel like you're losing weight rapidly?
Yes but the translation was wrong,أه والاكين الترجاما كانت غالطا,"Oh, but the translation was wrong."
Is your boss a lady or a man?,شف ديالك مرا أُلّا راجل?,"What's up, girl or guy?"
But his reviews are always justified.,والاكين لمولاحاضات ديالو ديما مبرّرين.,But the one with the excuses is always justifying himself.
in your work or elsewhere,فلخدما ديالك أُلّا علا برّا,Focus on your work rather than what's outside.
"No, nothing special, I think.","اللا, التا حاجة ماغريبا, فناضاري.","No, it's nothing strange, just a coincidence."
"Your sister, your mother, a friend?","ختك, لواليدا ديالك, شي صاديق?","Sister, is what you're saying true about your parents?"
Can you recognize anybody you know?,تقدر تجبد شي واهد كاتعارفو?,Can you bring something that they know?
I believe this is the first time we have met.,كانضنّ هادي أوّال مرّا كانتلاقاو.,I think this is the first time they've met.
I'll send it over to you as soon as it's finished.,دابا نصيفتها ليك أُقتمّا كملات.,Now I'll tell you the whole truth.
I've just checked that date on Google,يالّاه شفت التاريخ ف ڭوڭل,"Wow, I saw the history on Google."
you have to start by asking about it,خسّك تبدا بعدا تسووّل عليه,You better start apologizing to him next.
Can you explain what you don't understand?,مومكين تشرح شنو اللي مافهمتيش?,Can't you explain what you didn't understand?
I've been told that I can't drive,التڭال ليا أنّاهو مايمكنش نصوڭ,"Tell me what it is, I can't guess."
"Oh, I think the first guests are coming","أُه, تايبالّيا الضياف اللوولين جايّين","Oh, they are preparing the first course for the guests."
"I'll start with the fennel, it takes longer","غانبدا بل بسباس, كاياخود لوقت","He's starting to get impatient, he's taking his time."
may God protect your loved ones,الله إخلّي ليك ماعزّ عليك,May God protect you from harm
Could you start chopping the vegetables please,واخا تبدا تقطّع لخضرا عافاك,"When you start cutting the vegetables, please."
"Good morning, sir.",الله إسعد الصاباح أ شريف.,"God bless the morning, O honorable one."
Can it carry two people?,واش إمكن إهزّ جوج تنّاس?,Is it possible to shake some hands?
But drinking is probably a good idea,والاكين الشراب إمكن فيكرا مزيانا,Even the cheapest drink can taste good.
I can also hear a lady screaming,تانسمع حتّا شي مرا كاتغووّت,You can even hear a woman screaming
I suggest we eat the cheese with the fork,كانقتارح ناكلو لفرماج بل فورشيطا,I suggest we eat some cheese in the omelette.
We could just phone for a taxi?,نقدرو هير ندوورو ل تاشي?,Can we go back to that thing?
I know you're talking about cheese,عرفت أنّاكوم كاتهدرو علا لفرامج,I know you guys are talking about the programs.
"Unfortunately, mine is just a normal fork.","ليلأساف, ديالي هي فورشيطا عاديا.","Unfortunately, my luck is in a normal state."
"Oh, maybe I have the extra fork!","أُه, إمكن عندي لفورشيطا الزايدا","Oh, maybe I have an extra flashlight"
Wait... what did they give me?,بلّاتي... أش هادشي اللي عطاوني?,Seriously... What is this they gave me?
I do have an old examination paper,ماعنديش ورقا قديما تل متيحان,I don't have old papers to give you.
I am hoping that you get a really good result,كانتمنّا تجيب شي نوقطا مبرّعا,We were hoping you would bring some cold drinks.
"Anyway, how did you do with your homework last night?","موهيم, كيخدمتي التامارين لبارح فلّيل?","Hey, did you work out yesterday evening?"
How do you think we can resolve this?,كيفاش كايبّاليك إمكن نحلّو هادشي?,How do you manage to handle this?
"Oh, but I'm learning a lot","أُه, والاكين راه تانتعلّم بزّاف","Oh, but he's learning a lot"
do you think it is for my benefit?,واش تايبالّيك أنّاها مزيانا ليا?,Does it seem good to you?
"Not easy, but I think I did it","ماساهلاش, والاكين لاهوعلم إلا درتها","No problem, the one who knows is the one who did it."
So how did you find your maths homework?,إوا كيجاوك التامارين تل ماتهس?,Are they inviting you to the wedding or not?
All this work for nothing.,هاد لخدما كولها علا والو.,This job is all about connections.
They thought I'd make myself rich,كان كايسحابليهوم غانردّ راسّي غاني,"When he was arguing with them, he was holding his ground."
Was it really so bad?,واش كان داكشي خايب بصّح?,Is that really what happened?
And there was this important meeting,و كان هاد لجتيماع لموهيمّ,And this was a very important meeting.
do you want to tell me about it,واش بغيتي تهدر ليا عليه,Do you want to talk to me about it?
I had a really bad day.,دووزت واهد نهار مافيه مايتشاف.,I passed by and there was no one to be seen.
Can you just leave work at work?,واش واخا تخلّي لخدما فلخدما?,Is it okay if I leave work early today?
I've got some water if you want.,عندي شويا تلما ألا بيتي.,I have some guests at my house.
"But, I'm not sure that's enough",والاكين مامتيقّنش أنّا هادشي كافي,But they're not sure if this is enough.
"Let's stay here by the pool, then.",خلّينا ڭالسين هنا حدا لاپيسين,Let's stay here for a while and relax.
But we can also swim a little,والاكين راه نقدّو نعومو شويا,But he's actually quite sensitive
"Well, in a way, yes.","أودّي, من واهد الناحيا, أه.","Sure, from that perspective, yes."
But that's not what I meant,والاكين ماشي هادشي اللي قصدت,But that's not what I meant.
Did you see if your phone picked up the network?,شفتي واش تيليفونك شدّ الريزو?,Did you see if your phone is charging?
I have an assistant to do that.,عندي سكرتاير اللي تادّير هادشي.,I have a secretary who handles this.
Where would you like to go next?,فين بغيتي تمشي من بعد?,Where do you want to go next?
It looks like some kind of telephone on the wall.,دايرا بحال شي تيليفون فلحيط,He's always on his phone at the corner.
Maybe you could look at your cell phone.,إمكن تشوف ف تيليفون ديالك.,Maybe you can check your phone.
Do you agree that I should press it?,متّافق أنّاني خسّ نورّك عليه?,Do you agree that I should shed light on him?
Are you blaming me for this?,واش كاتعاتبني أنا علا هادشي?,Is she blaming me for this?
I'm not gonna be able to make a phone call.,غادي نقدر ندوّز شي موكالاما.,I will be able to pass a message.
Is there a history of this problem in your family?,واش هاد لموشكيل قديم فعاإلتكوم?,Is this an old photo in your family album?
"Thank you, Mr Bojm3a",الله إخلف عليك أسّي بوجمعا,May God bless you with your loved ones
"Is it serious, Doctor?",واش هادشي خاطير أ دوكتور?,"Is this dangerous, doctor?"
"it's late, the sun's starting to turn down","مشا لحال, شمش بدات تاتغبر","He went alone, feeling like things were starting to make sense."
Do you have anything left to eat?,باقي عندك شي حاجة مانقسّيو?,Do you have anything we shouldn't forget?
it's been about a month now,غاتكون شي شهر هادا دابا,It will be a busy month from now on.
Because you really wanted to burn your shoes.,حيت بغيتي نيت تحرڭ سبرديلتك.,"When you want to go out, let me know."
"And besides, he's a very good friend of mine",زيد عليها أنّاهو ساهبي بزّاف,He's really into her
"But, actually, we're gonna have to stop there.","والاكين, ساراها, خسّنا نوڭفو هنا.","Otherwise, let's go, we've wasted enough time here."
"Well, let's give it a go then!","موهيم, خلّينا نعطيوها فورصا بعدا!","Don't worry, let's give it another chance later!"
I am hopeful that you can help me,أنا عندي أمال أنّاك غاتعاونّي,I hope you will help me.
I have been feeling very sad lately,كنت مفقّسّ هاد ليامات اللخرا,I've been feeling down these past few days.
I don't really understand your new rule.,مافهمتش مزيان لقانون ديالكوم اللخر.,I didn't quite understand your company's rules.
I put the best part in my copy.,حطّيت أحسان جوزء فلورقا ديالي.,I put some kindness in the pages of my book.
"Well, he is in my team!","موهيم, هووا راه ف فرقتي!","Don't worry, he's with me!"
"You know him personally, so you favor him","كاتعرفو شخصيّان, داكشي علاش كاتفضّلو","They know each other, that's why they prefer it."
I think I'll talk to the principal about it.,كايبالّيا غانهضر معا لمودير عليها.,He's going to talk to the manager about it.
If only you had done 15 pages,كون غير درتي 15 لصفحا,Just do 15 pages.
Or maybe your favorite color?,أُلا إمكن اللوون لموفضّال ديالك?,Can you change the color of your outfit?
Could you come over to help me set it up!,واش واخا تجي تعاونّي نڭادّو!,"If you come to help me, we'll succeed!"
Do you want another cup of tea?,بغيتي شي كاس داتاي أخور?,Do you want a cold glass of iced tea?
There is lots to organize though,كاين بزّاف مايدّار واخا هاكّاك,"There are many things that are not done, even though they should be."
"No, not yet, but it's a good idea!","اللا, مازال, والاكين فيكرا مزيانا!","No, not yet, but there's still hope!"
Let us hope he will be ok,خلّينا نتمنّاو أنّاهو غايكون بيخير,Let's hope that everything will be fine.
Lorries can be lethal weapons,لكاميووات إقدرو إكونو أسليحا قاتيلا,The chameleons can be very skilled hunters.
I hope you know how to do that on your own,كانتمنّا تعرف تدير داكشي بوحدك,I wish you knew how to handle that on your own.
They have special dietary requirements,عندهوم طالابات محدّدا ديال رڭيم,They have specific students of the program
You should have told me earlier,كان خسّ تڭول ليا قبل,He used to insult me before.
Have you got anything on her?,واش شادّ شي حاجة عليها?,Is he stressing about something?
"Well, I see you don't want to try the experiment.","موهيم, بالّيا مابغيتيش تدير تجريبا.","Don't worry, do what you don't want to do."
"It doesn't matter, we walk in the park?","ماشي موهيم, نتمشاو ف الجردا?","No problem, shall we go for a walk?"
Let's leave the ducks alone.,خلّينا نعتيو التيساع ل لبطّات,Let's give the goats some space for the ducks.
What do you mean we keep going?,أش كاتقصد ب كانبقاو غاديين?,"What do you mean by ""kanbaqaw ghadine""?"
Unless there's a war,إلّا ألا كانت شي حرب,Unless it was a war.
And they don't like eating snails.,أُ ماكايحملوش ياكلو ل بربّوش.,"They don't carry food, they eat at the restaurant."
"Not just pizza, too.","ماشي هير ل پيزّا, تاهيا.","He's not here for pizza, he's lost."
"Come on, let me finish my shift.","باراكا عليا, خلّيني نكمّل خدمتي.","Thank you, let me continue my work."
"Oh, yeah, that's what I'm talking about","پشاخ, هادشي علاش كنت كانهدر","Seriously, that's why I was silent."
No problem for dessert.,ماكاين التا موشكيل ف الديسير.,There is no problem that is unsolvable in dessert.
"Oh fine, thanks for your help.","أه مزيان, شوكران علا لموساعادا.","Oh, great, thanks for the help."
"Hello Mme Jmiaa, how are you?","أهلان اللا جمياا, أش كاتعاودي?","Hello everyone, how are you doing?"
Home is where you are.,الدار هيا فين نتا كاين.,Where are you located?
We talk a lot of politics in here.,كانهضرو علا السياسا بزّاف هنا.,They talk a lot about politics here.
it costed me 30 dhs,طلع عليا ب 30 دهس,He charged me 30 bucks.
The train was late and I got soaking wet.,التران كنا معطّل أُ عرڭت.,The train was delayed due to a technical problem.
Is there something bothering you?,واش كاينا شي حاجة شاغلاك?,Is there something bothering you?
"You can count on me, boss!",تقدر تعتامد عليا أ شف!,"You can count on me, for sure!"
"You're very kind, boss.","نتا الله إعمّرها دار, شف.","You, God bless you, build a house, see."
It's perfect for black eyes.,هيا ميتاليا ل عينين لكحلين.,She has a magnetic charm in her dark eyes.
but it must be true!,والاكين راه خس تكون صحيحا!,But sometimes being wrong is right!
More customers would be great.,كليان كتر غاتكون لقاضيا مبرّعا.,Eating too much will make you feel uncomfortably full.
I thought we were going to be talking about holidays.,كان صحابني غانهدرو علا لعوطلا.,My friends used to hang out on the street corner.
I have to get over my emotions!,خسّني النسا ل أحاسيس ديالي!,Women hurt my feelings!
A car hit a cyclist.,طوموبيل دخلات ف مول پيكالا.,The car entered the Picalla mall.
"Oh god, how is the cyclist?","يا لاطيف, كيولّا مول پيكالا?","Oh, how cute, did he say anything?"
you hired us to do a job,خدّمتينا باش نديرو واهد لخدما,You helped us to give guidance to the service.
You'll hand him your resignation.,غادي تعطيه ل إستيقالا ديالك.,You're going to give him your resignation.
the list is endless,هاد ليستا ڭاع مابغات تقادا,This girl doesn't want to be criticized
What if a wolf comes along?,إوا والا جا شي ديب?,Did something serious happen?
"Dogs do, but wolves don't!","لكلاب أه, والاكين الدياب اللا!","To each their own, some are dogs, others are wolves!"
We'll figure out where to sleep tonight.,دابا ندپانيو فين النعسو ليوما.,Now I understand where their sleepiness is coming from today.
"Oh, you must be sleeping already...","أُه, خسّك تكون ناعس دابا...","Oh, you seem sleepy now..."
What is next chef?,شنو اللي تابع أ شف?,What did you watch on TV?
Sefro is very different from Rabat,صفرو مختالفا بزّاف علا ربات,He stands out a lot among the others.
I get off of work at 6,كانخرج من لخدما معا 6,He went out with his friends.
I've been here for two days,كنت هنا شي يوماين هادي,I was here for a couple of days.
let's practice English,يالّاه نترينيو علا ل أنڭلايس,"Let's go, we're waiting for you in English."
I have a question a want to ask you,عندي سوأل بغيت نسووّولو ليك,I have a question I want to ask you.
I wish I had one,كانتمنّا إكون عندي شي واهد,I wish I had a gift
one ticket to Kenitra please,شي وريقا ل قنيطرا لايخلّيك,A true friend won't let you down
is there any letter for me,واش كاينا شي برا ليا,Is there something outside for me?
sorry we don't accept credit cards,سمح لينا ماكانقبلوش كارت بانكاير,"Allow us, we didn't accept the bank card."
they charge 260 dhs per days,كايحسبو 260 درهم ل النهار,They think they're making 260 dirhams per day.
he studies at Mohamed 5 University,كايقرا ف جاميعات موهامد لخاميس,He reads in Mohamed Elkhames' gatherings.
