eng,darija_ar,transl
hand me that bag.,أرا ليا داك ساك.,Give me that bag.
"Next week, on Thursday","السيمانا الجايا, نهار لخميس","Next week, Thursday."
so start studying soon!,إوا بدا لقرايا بكري!,He wants to study tomorrow!
how is your book going to help me calm down,كيفاش كتابك غايعاونّي نتهدّن,How will your book help me to understand?
we're both scared of flying,بجوجنا تانخافو من الطاياران,"In Jujuga, they are afraid of airplanes."
it's all your fault,هادشي كولّو لغالاط ديالك,This is all for your nonsense.
she is getting married next week.,راه غاتجووّج سيمانا الجايّا.,He will visit us next week.
long ones of course,الطوال ب طابيعت لحال,Tall people have their own nature.
enjoy!,تبرّع ليا معا راسك!,Donate with your head!
I was going to suggest that too,كنت غانقتارح هادشي تاهووا,I used to suggest this to them.
let me tell you something,خلّيني نڭولّيك واحد لحاجا,Let me tell you something
"I'll tell you one thing, I like it!","غانڭولّيك واهد لحاجة, كاتعجبني!","I will get you one thing, I like it!"
"Yeah, I'm gonna do that, too.","وايه, غاندير هادشي تاهوا","Yes, I will do this right away."
just before going to bed,هي قبل مانمشي النعسّ,She fell asleep before we left.
I'm sure it'll be better soon.,أنا متءكّد غاتحسّن قاريبان,I am sure things will get better soon.
"Ah yes, that is a lot of people","واييه, بزّاف ديال الناس","Yeah, a lot of people"
we were about twenty people,كنّا شي عشرين واحد,We were around twenty people.
maybe one of them,إمكن شي واهد فيهوم,Maybe there's something hidden in them.
"Literally, his door is locked.","حرفيّان, لباب ديالو مسدود","The locksmith, his door is stuck."
"I told you, it's a woman.","ڭلتها ليك, راه مرا.","I told her to you, she's coming."
I hit my targets.,حقّقت ل أهداف ديالي.,I have achieved my goals.
"No, no one I recognize.","اللا, التا واهد ماكانعارفو.","No, I didn't know him."
What happened back then?,أش وقع فداك لوقت?,What time is it now?
This one may be historic,هادي تقدر تكون تاريخيا,This could be historic
we're hearing a lot about it right now,تانسمعو عليه بزّاف دابا,They talk about him a lot now.
explain and define the field,فسّر أُ عرّف لمايدان,Explain or show me the way to the square.
