darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl,p5_transl,eng_p5_transl
هشيش,fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,fragile
شاعل,angry,Bright,Bright,Bright,Bright,Energetic,Radiant,Lit,Bright,playful,active
ضاصر,naughty,Stubborn,Tight,Tired,Stingy,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn,Stubborn
مدمن,addicted,Addicted,Addicted,Addicted,Addicted,Addicted,Addicted,Addicted,Addicted,addicted,addicted
غبيّ,stupid,Stupid,Stupid,Stupid,Stupid,Stupid,Stupid,Stupid,Stupid,silly,stupid
مكلّخ,stupid,Stubborn,Greedy,Stubborn,Greedy,Stubborn,Messy,Stubborn,Greedy,Messy,messy
مجلّج,stupid,Shiny,Shiny,Confused,Confused,Shiny,Shiny,Stubborn,Confused,Confused,confused
كبير,big,Big,Big,Big,big,Big,Big,Big,Big,huge,big
صغير,small,Small,Small,Small,small,Small,Small,Tiny,Small,small,small
مهرّس,broken,Crushed,Crushed,Crushed,Confused,Crushed,Confused,Crushed,Confused,Determined,confused
مملّ,boring,Boring,Boring,Boring,Boring,Boring,Boring,Boring,Boring,boring,boring
صلع,bald,Bald,Bald,Bald,Bald,Bald,Bald,Bald,Bald,bald,bald
غليض,fat,Thick,Thick,Thick,Thick,Thick,Thick,Thick,Thick,Tall,stubborn
طبّوزي,fat,Stubborn,Stubborn,Stubborn,Stubborn,Funny,Stubborn,Sneaky,Stubborn,clumsy,stubborn
رقيق,thin,Delicate,Delicate,Delicate,Delicate,Delicate,Delicate,Delicate,Delicate,delicate,delicate
طويل,tall,Tall,Tall,Tall,Tall,Tall,Tall,Tall,Tall,tall,tall
قصير,short,Short,Short,Short,Short,Short,Short,Short,Short,short,short
زوين,beautiful,Nice,Beautiful,Beautiful,Beautiful,Nice,Beautiful,Nice,Beautiful,beautiful,beautiful
بوڭوص,handsome,Stubborn,Confused,Clumsy,Confused,Funny,Confused,Stubborn,Generous,Clumsy,stubborn
خايب,ugly,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,Disappointed,disappointed,disappointed
هبيل,crazy,Silly,Silly,Silly,Silly,Silly,Silly,Clumsy,Silly,Silly,silly
مصطّي,crazy,Stylish,Stylish,Messy,Stylish,Stubborn,Stylish,Stubborn,Stubborn,stubborn,stubborn
عامر,full,Crowded,Full,Full,Full,Generous,Full,Generous,Full,generous,full
جديد,new,Fresh,New,New,New,Fresh,New,Fresh,New,fresh,new
قديم,old,Old,Old,Old,Old,Ancient,Old,Ancient,Old,old,old
شارف,old,Close,Proud,Close,Proud,Close,Close,Charming,Proud,close,close
صعيب,hard,Difficult,Difficult,Difficult,Difficult,Difficult,Difficult,Tough,Difficult,difficult,difficult
قاسح,hard,Harsh,Harsh,Harsh,Harsh,Rude,Harsh,Rude,Harsh,Generous,bitter
ساهل,easy,Easy,Easy,Easy,Easy,Easy,Easy,Easy,Easy,Easy,easy
معطّل,late,Disabled,Lazy,Disabled,Lazy,Lazy,Lazy,Lazy,Lazy,lazy,lazy
حقيقية,real,Authentic,Real,Real,Real,Authentic,Genuine,Authentic,Realistic,authentic,real
عادي,normal,Normal,Normal,Normal,Normal,Normal,Normal,Chill,Normal,normal,normal
ڭادّ,able,Stubborn,Serious,Stubborn,Serious,Stubborn,Serious,Sneaky,Serious,stubborn,stubborn
بسيط,simple,Simple,Simple,Simple,Simple,Simple,Simple,Simple,Simple,Simple,simple
معقّد,complex,Complicated,Complicated,Complicated,Complicated,Complicated,Complicated,Complicated,Complicated,Complicated,complicated
