darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl
كلا,eat,Eat,Eat,Refuse,Eat
شرب,drink,Drink,drink,Drink,Drink
دخل,enter,Enter,enter,Enter,Enter
خرج,go out,Go out,go,Leave,Go
فهم,understand,Understand,understand,Understand,Understand
شرح,explain,Explain,Explain,"1. كيسرق
2. Steal",Explain
قرا,learn,Read,Read,Read,Read
قرّا,teach,Read,Read,Read,Read
سمع,hear,Listen,hear,Listen,hear
شاف,see,See,see,See,See
شم,smell,Smell,smell,Smell,Smell
داق,taste,Call,Taste,Eat,Call
قاس,touch,Measure,Measure,Measure,Measure
مشا,go,Go,Go,Go,Go
جا,come,Come,come,Come,come
طلع,ascend,Go out,Go,Go out,Go out
نزل,go down,Go down,To go down,Go down,descend
عام,swim,Spend,to bring,Live,"To announce

announce"
غرق,drown,Drown,drown,Drown,Drown
لبس,wear,Wearing,wear,Wear,wear
سلت,take off,Buy,Ask,Ask,ask
شرا,buy,Buy,Buy,Buy,buy
باع,sell,Sell,sell,Sell,sell
تاوا,bargain,Laughing,to come,Go,wait
كتب,write,Write,write,Write,write
مسح,clean,Wipe,wipe,Clean,Wipe
ضرب,hit,Hit,hit,Hit,hit
تسالم,greet,Greet,to surrender,Thank you,Make peace
عيا,fatigue,Tired,to tire,Go,Tire
تسخسخ,exhaust,Laugh,whisper,Laugh,Shake
ضحك,laugh,Laugh,laugh,Laugh,Laugh
جاب,bring,Bring,bring,Bring,bring
دار,do,Do,to do,Live,"Step 1 - Translate the verb ""دار"" from Moroccan Darija to English: ""to do""
Step 2 - Lemma: do"
ڭال,say,Laugh,go,Go,Go
قال,say,say,say,Say,say
عندو,have,Have.,have,Have,Have
شدّ,get,Pull,pull,Pull,"Tighten

Tighten"
فكّر,think,Think,think,Think,Think
با,want,Go,Come,Go,Go
لقا,find,Find,find,Find,find
عطا,give,Give,Give,Give,Give
خدم,work,Work,Work,Work,Work
عيط,call,Shout,Call,"Shout

Shout",Call
خاسّ,need,Lose,lose,Lose,Lose
حسّ,feel,Feel,Feel,Feel,Feel
ولّا,become,Chill,Leave,Travel,"To turn on

turn"
حطّ,put,Put,Put,Put,Put
عنا,mean,Have,Have,Have,To have
بدا,begin,Start,start,Start,start
خسّ,need,Lose,Lose,Lose,Lose
عجب,like,Like,like,Like,like
عاون,help,Help,Help,Help,Help
عتق,help,Freeing,Free,Free,Free
وجّد,prepare,Find,find,Find,Find
أمن,believe,Secure,Believe,Secure,Believe
حاول,try,Try,try,Try,Try
جرّب,try,Try,Try,Try,Try
سوّل,ask,To tempt,Advise,Sell,Recommend
تفكّر,remember,Think,think,Think,Think
مشا,leave,Go,Go,Go,go
بيّن,show,Show,show,Show,Show
لعب,play,Play,play,Play,play
جرا,run,Run,to run,Run,Run
جرّا,run,Run,run,Run,Pull
قرا,read,Read,Read,Read,Read
بدا,start,Start,start,Start,start
سالا,finish,Ask,ask,Ask,ask
قطّع,cut,Cut,Cut,Cut,Cut
هضر,talk,Speak,speak,Speak,Speak
شكر,thank,Thank,thank,Thank,Thank
بدّل,change,Change,change,Change,change
كمّل,continue,كمّل - Complete,Complete,كمّل - Complete,Complete
فتارض,suppose,Accept,Accept,Accept,Accept
تمنّا,wish,Wish,wish,Wish,wish
تبع,follow,Follow,Follow,Follow,Follow
قبل,accept,Kiss,accept,Kiss,Accept
رفض,reject,Refuse,refuse,Refuse,Refuse
وقع,happen,Fall,fall,Fall,fall
ڭلس,sit down,Laugh,Eat,Eat,swim
ربح,win,Win,win,Win,Win
زاد,add,Increase,increase,Increase,increase
تعلّم,learn,Learn,learn,Learn,Learn
تسنّا,wait,Wait,Wait,Wait,Wait
سيفط,send,Laugh,Jump,Laugh,Jump
حلّ,open,Solve,Solve,Solve,Solve
بنا,build,Build,build,Build,Build
ختار,choose,Choose,Choose,Choose,Choose
وصل,reach,Arrive,arrive,Arrive,arrive
قرّر,decide,Decide,decide,Decide,decide
نشط,enjoy,Activate,Activate,Activate,Activate
تفرّج,watch,Watch,Watch,Watch,Watch
خسر,lose,Lose,lose,"Lose

Lost",lose
تمشّا,walk,Walk,walk,Walk,Walk
كبّر,raise,Grow,grow,Grow,Magnify
تخيّل,imagine,Imagine,imagine,Imagine,Imagine
سبّب,cause,Cause,cause,Cause,Cause
هرّس,break,Mash,Grind,Mash,harass
سمع,listen,Listen,hear,Listen,hear
كبر,grow,Grow,grow,Grow,Grow
مات,die,Die,die,Die,die
توفّا,die,Die,die,Die,Die
زار,visit,Visit,visit,Visit,visit
شجّع,encourage,Encourage,Encourage,Support,"Encourage

Encourage"
حاما,protect,Cooking,Protect,Protect,Protect
نشر,spread,Publish,publish,"Publish

---

نشر - Publish",publish
قتل,kill,Kill,kill,Kill,Kill
صاڭ,drive,Laugh,Stand,Laugh,"To swim

swim"
كدب,lie,Lie,lie,Lie,Lie
تقاجح,argue,Argue,argue,Argue,Argue
حيّد,remove,Avoid,Remove,Remove,Remove
دابز,fight,Dance,Jump,Jump,Jump
عمّر,fill,Live,Build,Live,Build
سافر,travel,Travel,travel,Travel,Travel
حضر,attend,Attend,Attend,Attend,Attend
قسّح,hurt,Laugh,Cut,Laugh,Scratch
عانا,suffer,Suffer,suffer,Suffer,Suffered
زڭل,miss,Laugh,Play,Laugh,mock
عبّر,express,Express,Express,Express,Express
ركّز,concentrate,Focus,Focus,Focus,Focus
لاح,throw,To walk,See,See,To see
صاوب,prepare,Work,Fix,Work,Work
قرا,study,Read,Read,Read,Read
دفع,push,Pay,pay,Pay,Pay
ورّك,press,Dance,Show,Kick,teach
وصل,arrive,Arrive,arrive,Arrive,arrive
صونا,ring,Listen,Hear,Listen,Protect
جمع,collect,Gather,to collect,Collect,gather
هرب,escape,Escape,escape,Escape,Escape
رحّب,welcome,Welcome,Welcome,Welcome,Welcome
عوّل,rely,Trust,Trust,Trust,rely
تاق,trust,Tag,To cut,Tag,Knock
عاود,repeat,Repeat,Repeat,Repeat,"Repeat

Lemma: Repeat"
خطّط,plan,Plan,Plan,Plan,Plan
فرش,reveal,Sweep,spread,Sweep,Spread
أكّد,confirm,Confirm,confirm,Confirm,Confirm
كره,hate,Hate,hate,"Hate

كره - Hate",hate
تجوج,marry,Get married,marry,Get married,Marry
قسم,split,divide,divide,Promise,divide
تبنّا,adopt,Adopt,Adopt,Adopted,adopt
تجاهل,ignore,Ignore,Ignore,Ignore,Ignore
عرّف,define,Define,define,Define,Define
قدّم,introduce,Present,present,Present,present
ترينا,exercise,Show us,Show,Show us,Show
برهن,demonstrate,Prove,prove,Show,prove
قنع,persuade,Convince,convince,Convince,Convince
قلّع,guess,Dig,Pull,Remove,"Uproot

Lemma: Uproot"
صوّت,vote,Vote,Vote,Vote,Vote
نكر,deny,Sleep,Deny,Forget,Deny
خبّا,hide,Hide,Hide,Hide,hide
نجح,succeed,Succeed,succeed,Succeed,Succeed
طلب,demand,Ask,ask,Request,ask
عتارف,recognize,Confess,admit,Confess,Admit
حسب,count,See,Calculate,Translate: To depend,Calculate
نتاما,belong,Laughing,Expect,Sleep,Wait
شكّ,doubt,Thank.,Thank,Believe,Thank.
غنّا,sing,Sing,sing,Sing,sing
نوا,intent,sleep,sleep,Sleep,sleep
برّر,justify,Justify,Justify,Justify,Justify
دافع,defend,Pay,defend,Pay,repel
زعم,dare,Claim,claim,Claim,Claim
تساراح,rest,To go out,Run,Leave,"Step 1: Run
Step 2: Run"
حكم,judge,Judge,rule,Rule,rule
شارك,participate,Participate,Participate,Participate,"Participate

Participate"
غسل,wash,Wash,wash,Wash,wash
لاحض,observe,Notice,Notice,Notice,Notice
خدّم,employ,Work,Work,Work,work
جمع,combine,Gather,to collect,Collect,gather
لحّ,insist,Laugh,Rub,Laugh,Boil
تلاح,jump,Read,Read,Read,Read
طيّب,cook,To be kind.,To cook,Translate: To be kind,To make it good
بكا,cry,Cry,cry,"Cry

Cried",Cry
نعس,sleep,Sleep,sleep,Sleep,to sleep
فاق,wake up,Wake,surpass,Wake up,surpass
جمع,gather,Gather,to gather,Collect,gather
نساحب,withdraw,Withdraw,drag,Pull,Pull
حلّ,resolve,Solve,Solve,Solve,solve
خبر,inform,Tell,to inform,Tell,inform
ستلزم,imply,Require,require,Require,require
تسلّف,borrow,Borrow,borrow,Borrow,borrow
خاطر,risk,Write,Want,Write,Want
سمح,permit,Forgive,Allow,Allow,Allow
سامح,forgive,Forgive,Forgive,Forgive,Forgive
قتارح,propose,Propose,Decide,Propose,advise
حتافل,celebrate,Celebrate,Travel,Celebrate,Travel
ضيّع,waste,Waste,lose,Waste,Lose
غبر,disappear,Leave,Dig,Leave,Cover
توقّع,predict,Expect,expect,Expect,Expect
نڭر,complain,Bite,See,Sleep,Look
قبط,catch,Steal,Steal,Steal,"Steal

Lemma: Steal"
ڭبض,catch,Grab,Take,Grab,Grab
ناض,get up,Get up,stand,Stand up,Stand up
داز,pass,Pass,Pass,Pass,Pass
حبس,stop,Imprisonment,imprison,Imprison,Imprison
قيّد,note,Tie,restrict,Restrict,restrict
ولّف,habituate,Wrap,Wrap,Write,Compose
خلّط,mix,Mix,mix,Mix,Mix
ڭيّد,mislead,Think,restrict,Think,"Restrict

Lemma: restrict"
حرڭ,burn,Laugh,Argue,Run,Fight
حرق,burn,Burn,burn,Burn,Burn
ستاغل,exploit,Enjoy,Work,Enjoy,Work
كما,smoke,Eat,like,Do,come
حدّر,warn,Laugh,Warn,Predict,Warn
باس,kiss,Pass,Pass,Go,"Step 1: Pass

Step 2: pass"
علن,announce,Announce,announce,Declare,announce
ختابر,evaluate,Chat,Experience,Study,Test
تنفّس,breathe,Breathe,breathe,Breathe,breathe
فات,exceed,Pass,Miss,Pass,Missed
صادق,approve,Believe,Believe,Believe,"To be honest

Lemma: Honest"
حتلّ,occupy,Invade,occupy,Occupy,occupy
