darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
كلا,eat,No,eat,Eat,Eat,Eat,eat
شرب,drink,Drink,drink,Drink,drink,Drink,drink
دخل,enter,Enter,enter,Enter,enter,Enter,enter
خرج,go out,Go,exit,Go out,go,Go out,go
فهم,understand,Understand,understand,Understand,understand,Understand,understand
شرح,explain,Explain,explain,Explain,Explain,Explain,Explain
قرا,learn,Read,read,Read,Read,Read,Read
قرّا,teach,Read,read,Read,Read,Read,Read
سمع,hear,Listen,hear,Listen,hear,Listen,hear
شاف,see,See,see,See,see,See,see
شم,smell,Smell,smell,Smell,smell,Smell,smell
داق,taste,Taste,taste,Call,Taste,Call,Call
قاس,touch,Measure,measure,Measure,Measure,Measure,Measure
مشا,go,Go,go,Go,Go,Go,go
جا,come,Come,come,Come,come,Come,come
طلع,ascend,Go out,go out,Go out,Go,Go out,go out
نزل,go down,Go down,descend,Go down,To go down,Go down,go down
عام,swim,Live,to bring,Spend,to bring,Live,to bring
غرق,drown,Drown,drown,Drown,drown,Drown,drown
لبس,wear,Wearing,wear,Wearing,wear,Wearing,wear
سلت,take off,Buy,ask,Buy,Ask,Buy,Ask
شرا,buy,Buy,buy,Buy,Buy,Buy,Buy
باع,sell,Sell,sell,Sell,sell,Sold,sell
تاوا,bargain,Laugh,to come,Laughing,to come,Sleep,to come
كتب,write,write,write,Write,write,Write,write
مسح,clean,Wipe,wipe,Wipe,wipe,Clean,wipe
ضرب,hit,Hit,hit,Hit,hit,Hit,hit
تسالم,greet,Salam.,to greet,Greet,to surrender,Thank you,to reconcile
عيا,fatigue,Give up,tire,Tired,to tire,Give up,Tire
تسخسخ,exhaust,To dance,whisper,Laugh,whisper,To dance,Whisper
ضحك,laugh,Laugh,laugh,Laugh,laugh,Laugh,laugh
جاب,bring,bring,bring,Bring,bring,Bring,bring
دار,do,Live,to do,Do,to do,House,do
ڭال,say,Say,say,Laugh,go,Laugh,go
قال,say,Said,say,say,say,Said,say
عندو,have,He has.,have,Have.,have,Have.,have
شدّ,get,Pull,pull,Pull,pull,Pull,pull
فكّر,think,Think,think,Think,think,Think,think
با,want,Go,come,Go,Come,Go,Come
لقا,find,Find,find,Find,find,Find,find
عطا,give,Give,give,Give,Give,Give,give
خدم,work,Work,work,Work,Work,Work,Work
عيط,call,Shout,call,Shout,Call,Shout,Call
خاسّ,need,Lose,lose,Lose,lose,Lose,lose
حسّ,feel,Feel,feel,Feel,Feel,Feel,Feel
ولّا,become,Chill,turn,Chill,Leave,Chill,Fly
حطّ,put,Put,put,Put,Put,Put,Put
عنا,mean,Have,have,Have,Have,Have,Have
بدا,begin,Start,begin,Start,start,Start,start
خسّ,need,Lose,lose,Lose,Lose,Lose,Lose
عجب,like,Like,like,Like,like,Like,like
عاون,help,Help,help,Help,Help,Help,help
عتق,help,Freeing,Free,Freeing,Free,Freeing,Free
وجّد,prepare,Find,find,Find,find,Find,find
أمن,believe,Security,Believe,Secure,Believe,Secure,Believe
حاول,try,Try,try,Try,try,Try,try
جرّب,try,Try,try,Try,Try,Try,try
سوّل,ask,Encourage,advise,To tempt,Advise,To tempt,Advise
تفكّر,remember,Think,think,Think,think,Think,think
مشا,leave,Go,go,Go,Go,Go,Go
بيّن,show,Show,show,Show,show,Show,show
لعب,play,Play,play,Play,play,Play,play
جرا,run,Run,to run,Run,to run,Run,run
جرّا,run,Run,run,Run,run,Run,run
قرا,read,Read,read,Read,Read,Read,Read
بدا,start,Start,begin,Start,start,Start,start
سالا,finish,He asked.,ask,Ask,ask,Ask,ask
قطّع,cut,Cut,cut,Cut,Cut,Cut,cut
هضر,talk,Speak,speak,Speak,speak,Speak,speak
