darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl
كلا,eat,eat,eat,eat,eat
شرب,drink,drink,to drink,drinking,drink
دخل,enter,enter,enter,enter,enter
خرج,go out,go out,go out,go out,go
فهم,understand,understand,understand,understand,understand
شرح,explain,explain,explain,explain,explain
قرا,learn,read,read,read,read
قرّا,teach,read,read,read,read
سمع,hear,listen,hear,hear,hear
شاف,see,see,see,see,see
شم,smell,smell,smell,smell,smell
داق,taste,taste,taste,taste,taste
قاس,touch,measure,measure,measure,measure
مشا,go,go,go,go,go
جا,come,come,come,come,come
طلع,ascend,go out,go out,go out,go out
نزل,go down,go down,go down,go down,go
عام,swim,live,say,live,inform
غرق,drown,drown,drown,drown,drown
لبس,wear,wear,wear,wear,wear
سلت,take off,buy,ask,buy,ask
شرا,buy,buy,buy,buy,buy
باع,sell,sell,sell,sell,sell
تاوا,bargain,eat,cook,eat,buy
كتب,write,write,write,write,write
مسح,clean,wipe,wipe,wipe,wipe
ضرب,hit,hit,hit,hit,hit
تسالم,greet,Thank you,greet,Thank you,surrender
عيا,fatigue,sleep,try,sleep,want
تسخسخ,exhaust,chatter,whisper,whisper,whisper
ضحك,laugh,laugh,laugh,laugh,laugh
جاب,bring,bring,bring,bring,bring
دار,do,do,do,do,do
ڭال,say,go,go,go,go
قال,say,say,say,say,say
عندو,have,have,have,have,have
شدّ,get,pull,pull,pull,pull
فكّر,think,think,think,think,think
با,want,come,come,go,come
لقا,find,find,find,find,find
عطا,give,give,give,give,give
خدم,work,work,work,work,work
عيط,call,shout,call,shout,call
خاسّ,need,lose,lose,lose,lose
حسّ,feel,feel,feel,feel,feel
ولّا,become,sleep,leave,eat,leave
حطّ,put,put,put,put,put
عنا,mean,have,have,have,have
بدا,begin,start,start,start,start
خسّ,need,lose,lose,lose,lose
عجب,like,like,like,like,like
عاون,help,help,help,help,help
عتق,help,release,free,release,free
وجّد,prepare,find,find,find,find
أمن,believe,eat,secure,eat,secure
حاول,try,try,try,try,try
جرّب,try,try,try,try,try
سوّل,ask,suggest,advise,suggest,advise
تفكّر,remember,think,think,think,think
مشا,leave,go,go,go,go
بيّن,show,explain,show,explain,show
لعب,play,play,play,play,play
جرا,run,run,run,run,run
جرّا,run,run,run,run,run
قرا,read,read,read,read,read
بدا,start,start,start,start,start
سالا,finish,ask,ask,ask,ask
قطّع,cut,cut,cut,cut,cut
هضر,talk,speak,speak,speak,speak
شكر,thank,thank,thank,thank,thank
بدّل,change,change,change,change,change
كمّل,continue,continue,complete,continue,complete
فتارض,suppose,agree,agree,agree,agree
تمنّا,wish,wish,wish,wish,wish
تبع,follow,follow,follow,follow,follow
قبل,accept,kiss,kiss,kiss,kiss
رفض,reject,refuse,refuse,refuse,refuse
وقع,happen,fall,fall,fall,fall
ڭلس,sit down,eat,eat,eat,swim
ربح,win,win,win,win,win
زاد,add,increase,increase,increase,increase
تعلّم,learn,learn,learn,learn,learn
تسنّا,wait,wait,wait,wait,wait
سيفط,send,eat,wake,eat,write
حلّ,open,solve,solve,solve,solve
بنا,build,build,build,build,build
ختار,choose,choose,choose,choose,choose
وصل,reach,arrive,arrive,arrive,arrive
قرّر,decide,decide,decide,decide,decide
نشط,enjoy,energize,energize,energize,energize
تفرّج,watch,watch,watch,watch,watch
خسر,lose,lose,lose,lose,lose
تمشّا,walk,walk,walk,walk,walk
كبّر,raise,exaggerate,grow,grow,magnify
تخيّل,imagine,imagine,imagine,imagine,imagine
سبّب,cause,cause,cause,cause,cause
هرّس,break,mash,grind,mash,grind
سمع,listen,listen,hear,listen,hear
كبر,grow,grow,grow,grow,grow
مات,die,die,die,die,die
توفّا,die,sleep,die,die,die
زار,visit,visit,visit,visit,visit
شجّع,encourage,encourage,encourage,encourage,encourage
حاما,protect,cook,protect,sleep,protect
نشر,spread,publish,publish,publish,publish
قتل,kill,kill,kill,kill,kill
صاڭ,drive,drive,swim,drive,swim
كدب,lie,lie,lie,lie,lie
تقاجح,argue,argue,argue,argue,argue
حيّد,remove,move,remove,move,avoid
دابز,fight,eat,clean,eat,clean
عمّر,fill,build,build,build,build
سافر,travel,travel,travel,travel,travel
حضر,attend,attend,attend,attend,attend
قسّح,hurt,sweep,pour,Sweep,pour
عانا,suffer,suffer,suffer,suffer,suffer
زڭل,miss,eat,play,sleep,play
عبّر,express,express,express,express,express
ركّز,concentrate,focus,focus,focus,focus
لاح,throw,see,see,see,see
صاوب,prepare,work,cook,cook,fix
قرا,study,read,read,read,read
دفع,push,pay,pay,pay,pay
ورّك,press,throw,sit,spit,sit
وصل,arrive,arrive,arrive,arrive,arrive
صونا,ring,listen,listen,protect,watch
جمع,collect,gather,collect,gather,collect
هرب,escape,escape,escape,escape,flee
رحّب,welcome,welcome,welcome,welcome,welcome
عوّل,rely,depend,rely,depend,rely
تاق,trust,miss,miss,miss,miss
عاود,repeat,repeat,repeat,repeat,repeat
خطّط,plan,plan,plan,plan,plan
فرش,reveal,sweep,spread,sweep,spread
أكّد,confirm,confirm,confirm,confirm,confirm
كره,hate,hate,hate,hate,hate
تجوج,marry,drive,search,marry,argue
قسم,split,swear,divide,swear,swear
تبنّا,adopt,adopt,adopt,adopt,adopt
تجاهل,ignore,ignore,ignore,ignore,ignore
عرّف,define,define,define,define,define
قدّم,introduce,present,present,present,present
ترينا,exercise,show,show,show,show
برهن,demonstrate,prove,prove,prove,prove
قنع,persuade,convince,convince,convince,convince
قلّع,guess,uproot,pull,uproot,pull
صوّت,vote,vote,vote,vote,vote
نكر,deny,sleep,sleep,sleep,sleep
خبّا,hide,hide,hide,hide,hide
نجح,succeed,succeed,succeed,succeed,succeed
طلب,demand,ask,ask,ask,ask
عتارف,recognize,confess,confess,confess,confess
حسب,count,calculate,calculate,depend,calculate
نتاما,belong,sleep,sleep,sleep,wait
شكّ,doubt,doubt,doubt,doubt,doubt
غنّا,sing,sing,sing,sing,sing
نوا,intent,sleep,sleep,sleep,sleep
برّر,justify,justify,justify,justify,justify
دافع,defend,defend,pay,defend,pay
زعم,dare,claim,claim,claim,claim
تساراح,rest,walk,walk,travel,walk
حكم,judge,judge,judge,judge,judge
شارك,participate,participate,participate,participate,participate
غسل,wash,wash,wash,wash,wash
لاحض,observe,notice,notice,notice,notice
خدّم,employ,work,work,work,work
جمع,combine,gather,collect,gather,collect
لحّ,insist,eat,eat,taste,massage
